,Commodity,Price,Date,Log_Price,Low_Temp,Hi_Temp,Precip_Type,Snow_Amt
0,"Natural Gas, Henry Hub-I",2.37,2015-10-01,0.8628899551470398,56.84,82.55,,
1,"Natural Gas, Henry Hub-I",2.26,2015-10-02,0.8153648132841944,55.03,78.56,,
2,"Natural Gas, Henry Hub-I",2.32,2015-10-05,0.8415671856782185,66.69,82.85,,
3,"Natural Gas, Henry Hub-I",2.35,2015-10-06,0.8544153281560676,65.9,86.04,,
4,"Natural Gas, Henry Hub-I",2.46,2015-10-07,0.9001613499442714,70.2,89.39,,
5,"Natural Gas, Henry Hub-I",2.44,2015-10-08,0.8919980393051105,67.33,87.16,,
6,"Natural Gas, Henry Hub-I",2.36,2015-10-09,0.8586616190375187,68.14,88.25,,
7,"Natural Gas, Henry Hub-I",2.44,2015-10-12,0.8919980393051105,67.87,83.7,,
8,"Natural Gas, Henry Hub-I",2.43,2015-10-13,0.8878912573524571,55.02,89.17,,
9,"Natural Gas, Henry Hub-I",2.44,2015-10-14,0.8919980393051105,55.65,89.6,,
10,"Natural Gas, Henry Hub-I",2.49,2015-10-15,0.9122827104766164,58.42,91.53,,
11,"Natural Gas, Henry Hub-I",2.38,2015-10-16,0.8671004876833833,58.77,92.17,,
12,"Natural Gas, Henry Hub-I",2.42,2015-10-19,0.883767540168595,59.95,79.73,,
13,"Natural Gas, Henry Hub-I",2.45,2015-10-20,0.8960880245566357,63.15,82.92,,
14,"Natural Gas, Henry Hub-I",2.36,2015-10-21,0.8586616190375187,69.16,84.79,,
15,"Natural Gas, Henry Hub-I",2.34,2015-10-22,0.85015092936961,70.91,80.9,,
16,"Natural Gas, Henry Hub-I",2.27,2015-10-23,0.8197798314933114,73.35,83.31,,
17,"Natural Gas, Henry Hub-I",2.14,2015-10-26,0.7608058290337602,66.37,71.74,rain,
18,"Natural Gas, Henry Hub-I",2.07,2015-10-27,0.7275486072772777,59.41,72.56,rain,
19,"Natural Gas, Henry Hub-I",2.1,2015-10-28,0.7419373447293773,59.31,81.84,rain,
20,"Natural Gas, Henry Hub-I",2.1,2015-10-29,0.7419373447293773,60.09,81.32,,
21,"Natural Gas, Henry Hub-I",1.94,2015-10-30,0.6626879730752367,72.23,79.32,,
22,"Natural Gas, Henry Hub-I",1.92,2015-11-02,0.6523251860396901,65.34,71.65,rain,
23,"Natural Gas, Henry Hub-I",1.9,2015-11-03,0.6418538861723947,63.87,73.56,,
24,"Natural Gas, Henry Hub-I",2.02,2015-11-04,0.7030975114131134,65.56,80.74,rain,
25,"Natural Gas, Henry Hub-I",2.09,2015-11-05,0.7371640659767196,74.22,83.97,rain,
26,"Natural Gas, Henry Hub-I",2.16,2015-11-06,0.7701082216960737,71.37,85.43,rain,
27,"Natural Gas, Henry Hub-I",2.13,2015-11-09,0.7561219797213337,58.5,66.6,,
28,"Natural Gas, Henry Hub-I",2.11,2015-11-10,0.7466879474879751,62.5,76.29,,
29,"Natural Gas, Henry Hub-I",2.11,2015-11-11,0.7466879474879751,60.25,80.71,,
30,"Natural Gas, Henry Hub-I",2.01,2015-11-12,0.6981347220709843,49.8,71.45,rain,
31,"Natural Gas, Henry Hub-I",2.01,2015-11-13,0.6981347220709843,51.75,69.39,,
32,"Natural Gas, Henry Hub-I",2.14,2015-11-16,0.7608058290337602,74.12,78.6,rain,
33,"Natural Gas, Henry Hub-I",2.05,2015-11-17,0.7178397931503168,56.02,80.15,rain,
34,"Natural Gas, Henry Hub-I",2.1,2015-11-18,0.7419373447293773,51.0,72.1,rain,
35,"Natural Gas, Henry Hub-I",2.15,2015-11-19,0.7654678421395714,50.43,74.57,,
36,"Natural Gas, Henry Hub-I",2.16,2015-11-20,0.7701082216960737,56.64,72.9,,
37,"Natural Gas, Henry Hub-I",2.14,2015-11-23,0.7608058290337602,40.98,60.23,,
38,"Natural Gas, Henry Hub-I",2.11,2015-11-24,0.7466879474879751,52.04,68.46,,
39,"Natural Gas, Henry Hub-I",2.06,2015-11-25,0.7227059828014898,64.13,75.15,rain,
40,"Natural Gas, Henry Hub-I",2.09,2015-11-30,0.7371640659767196,65.17,77.58,rain,
41,"Natural Gas, Henry Hub-I",2.15,2015-12-01,0.7654678421395714,51.08,65.59,rain,
42,"Natural Gas, Henry Hub-I",2.17,2015-12-02,0.7747271675523681,46.29,57.5,rain,
43,"Natural Gas, Henry Hub-I",2.11,2015-12-03,0.7466879474879751,38.45,58.69,,
44,"Natural Gas, Henry Hub-I",2.08,2015-12-04,0.7323678937132266,39.18,59.43,,
45,"Natural Gas, Henry Hub-I",2.03,2015-12-07,0.7080357930536959,43.77,69.56,,
46,"Natural Gas, Henry Hub-I",1.98,2015-12-08,0.6830968447064438,54.14,70.55,rain,
47,"Natural Gas, Henry Hub-I",2.0,2015-12-09,0.6931471805599453,55.5,74.6,,
48,"Natural Gas, Henry Hub-I",1.91,2015-12-10,0.6471032420585384,67.2,77.96,,
49,"Natural Gas, Henry Hub-I",1.77,2015-12-11,0.5709795465857378,66.6,78.75,,
50,"Natural Gas, Henry Hub-I",1.69,2015-12-14,0.5247285289349821,48.33,71.11,rain,
51,"Natural Gas, Henry Hub-I",1.65,2015-12-15,0.5007752879124892,61.07,74.54,,
52,"Natural Gas, Henry Hub-I",1.68,2015-12-16,0.5187937934151675,48.65,74.47,rain,
53,"Natural Gas, Henry Hub-I",1.75,2015-12-17,0.5596157879354227,39.25,59.83,rain,
54,"Natural Gas, Henry Hub-I",1.7,2015-12-18,0.5306282510621704,36.44,58.76,,
55,"Natural Gas, Henry Hub-I",1.7,2015-12-21,0.5306282510621704,66.72,70.58,rain,
56,"Natural Gas, Henry Hub-I",1.75,2015-12-22,0.5596157879354227,66.02,70.98,rain,
57,"Natural Gas, Henry Hub-I",1.62,2015-12-23,0.4824261492442928,70.68,76.71,rain,
58,"Natural Gas, Henry Hub-I",1.54,2015-12-24,0.43178241642553783,73.59,79.09,rain,
59,"Natural Gas, Henry Hub-I",2.08,2015-12-28,0.7323678937132266,41.34,54.51,rain,
60,"Natural Gas, Henry Hub-I",2.24,2015-12-30,0.8064758658669485,50.32,58.17,rain,
61,"Natural Gas, Henry Hub-I",2.32,2015-12-31,0.8415671856782185,43.36,55.1,rain,
62,"Natural Gas, Henry Hub-I",2.39,2016-01-04,0.8712933659434193,32.24,57.47,,
63,"Natural Gas, Henry Hub-I",2.32,2016-01-05,0.8415671856782185,39.05,53.01,,
64,"Natural Gas, Henry Hub-I",2.35,2016-01-06,0.8544153281560676,54.11,66.96,,
65,"Natural Gas, Henry Hub-I",2.35,2016-01-07,0.8544153281560676,53.52,66.98,rain,
66,"Natural Gas, Henry Hub-I",2.47,2016-01-08,0.9042181506398859,57.3,65.69,,
67,"Natural Gas, Henry Hub-I",2.53,2016-01-11,0.9282193027394288,34.76,50.32,rain,
68,"Natural Gas, Henry Hub-I",2.38,2016-01-12,0.8671004876833833,36.43,60.4,,
69,"Natural Gas, Henry Hub-I",2.3,2016-01-13,0.8329091229351039,41.35,63.14,,
70,"Natural Gas, Henry Hub-I",2.19,2016-01-14,0.7839015438284094,53.0,62.27,rain,
71,"Natural Gas, Henry Hub-I",2.19,2016-01-15,0.7839015438284094,45.33,69.46,rain,
72,"Natural Gas, Henry Hub-I",2.22,2016-01-19,0.7975071958841882,49.72,63.11,,
73,"Natural Gas, Henry Hub-I",2.14,2016-01-20,0.7608058290337602,57.42,71.27,rain,
74,"Natural Gas, Henry Hub-I",2.2,2016-01-21,0.7884573603642703,42.31,73.6,rain,
75,"Natural Gas, Henry Hub-I",2.22,2016-01-22,0.7975071958841882,32.85,42.63,,
76,"Natural Gas, Henry Hub-I",2.14,2016-01-25,0.7608058290337602,59.73,71.19,,
77,"Natural Gas, Henry Hub-I",2.23,2016-01-26,0.8020015854720274,42.37,61.47,rain,
