Price,Date,Log_Price,Low_Temp,Hi_Temp,Precip_Type,Snow_Amt,Low_Temp_log
1.92,2015-11-02,0.6523251860396901,65.34,71.65,rain,,4.179604406172924
1.9,2015-11-03,0.6418538861723947,63.87,73.56,,,4.1568497675734974
2.02,2015-11-04,0.7030975114131134,65.56,80.74,rain,,4.182965753875629
2.09,2015-11-05,0.7371640659767196,74.22,83.97,rain,,4.307033655632451
2.16,2015-11-06,0.7701082216960737,71.37,85.43,rain,,4.267877612982976
2.13,2015-11-09,0.7561219797213337,58.5,66.6,,,4.069026754237811
2.11,2015-11-10,0.7466879474879751,62.5,76.29,,,4.135166556742356
2.11,2015-11-11,0.7466879474879751,60.25,80.71,,,4.098502572370764
2.01,2015-11-12,0.6981347220709843,49.8,71.45,rain,,3.9080149840306073
2.01,2015-11-13,0.6981347220709843,51.75,69.39,,,3.9464244321454784
2.14,2015-11-16,0.7608058290337602,74.12,78.6,rain,,4.3056854014171595
2.05,2015-11-17,0.7178397931503168,56.02,80.15,rain,,4.0257087698319625
2.1,2015-11-18,0.7419373447293773,51.0,72.1,rain,,3.9318256327243257
2.15,2015-11-19,0.7654678421395714,50.43,74.57,,,3.920586236088634
2.16,2015-11-20,0.7701082216960737,56.64,72.9,,,4.036715449385464
2.14,2015-11-23,0.7608058290337602,40.98,60.23,,,3.7130841428107537
2.11,2015-11-24,0.7466879474879751,52.04,68.46,,,3.9520126536443043
2.06,2015-11-25,0.7227059828014898,64.13,75.15,rain,,4.160912273160771
2.09,2015-11-30,0.7371640659767196,65.17,77.58,rain,,4.176999240344289
2.15,2015-12-01,0.7654678421395714,51.08,65.59,rain,,3.9333930311643384
2.17,2015-12-02,0.7747271675523681,46.29,57.5,rain,,3.8349259550431793
2.11,2015-12-03,0.7466879474879751,38.45,58.69,,,3.649358695951653
2.08,2015-12-04,0.7323678937132266,39.18,59.43,,,3.6681664125163946
2.03,2015-12-07,0.7080357930536959,43.77,69.56,,,3.778948651202804
1.98,2015-12-08,0.6830968447064438,54.14,70.55,rain,,3.9915732841861553
2.0,2015-12-09,0.6931471805599453,55.5,74.6,,,4.0163830207523885
1.91,2015-12-10,0.6471032420585384,67.2,77.96,,,4.207673247529104
1.77,2015-12-11,0.5709795465857378,66.6,78.75,,,4.198704577546343
1.69,2015-12-14,0.5247285289349821,48.33,71.11,rain,,3.8780524858569927
1.65,2015-12-15,0.5007752879124892,61.07,74.54,,,4.112020747235043
1.68,2015-12-16,0.5187937934151675,48.65,74.47,rain,,3.884651808632014
1.75,2015-12-17,0.5596157879354227,39.25,59.83,rain,,3.6699514442284173
1.7,2015-12-18,0.5306282510621704,36.44,58.76,,,3.5956670723917576
1.7,2015-12-21,0.5306282510621704,66.72,70.58,rain,,4.200504758050491
1.75,2015-12-22,0.5596157879354227,66.02,70.98,rain,,4.189957726425047
1.62,2015-12-23,0.4824261492442928,70.68,76.71,rain,,4.2581626474514955
1.54,2015-12-24,0.4317824164255378,73.59,79.09,rain,,4.298509146938508
2.08,2015-12-28,0.7323678937132266,41.34,54.51,rain,,3.7218305542536223
2.24,2015-12-30,0.8064758658669485,50.32,58.17,rain,,3.918402612392185
2.32,2015-12-31,0.8415671856782185,43.36,55.1,rain,,3.769537357131391
2.39,2016-01-04,0.8712933659434193,32.24,57.47,,,3.4732079176384274
2.32,2016-01-05,0.8415671856782185,39.05,53.01,,,3.664842876285695
2.35,2016-01-06,0.8544153281560676,54.11,66.96,,,3.991019011654644
2.35,2016-01-07,0.8544153281560676,53.52,66.98,rain,,3.9800554158199732
2.47,2016-01-08,0.904218150639886,57.3,65.69,,,4.048300623720694
2.53,2016-01-11,0.9282193027394288,34.76,50.32,rain,,3.548467300397191
2.38,2016-01-12,0.8671004876833833,36.43,60.4,,,3.5953926110204724
2.3,2016-01-13,0.8329091229351039,41.35,63.14,,,3.7220724214697003
2.19,2016-01-14,0.7839015438284094,53.0,62.27,rain,,3.970291913552122
2.19,2016-01-15,0.7839015438284094,45.33,69.46,rain,,3.813969064952758
2.22,2016-01-19,0.7975071958841882,49.72,63.11,,,3.9064072666425105
2.14,2016-01-20,0.7608058290337602,57.42,71.27,rain,,4.050392674692918
2.2,2016-01-21,0.7884573603642703,42.31,73.6,rain,,3.7450234647319762
2.22,2016-01-22,0.7975071958841882,32.85,42.63,,,3.4919517449306197
2.14,2016-01-25,0.7608058290337602,59.73,71.19,,,4.089834406744215
2.23,2016-01-26,0.8020015854720274,42.37,61.47,rain,,3.7464405646384678
2.24,2016-01-27,0.8064758658669485,35.71,55.1,,,3.575430761606357
2.12,2016-01-28,0.7514160886839212,41.05,57.93,,,3.714790835898437
2.25,2016-01-29,0.8109302162163288,50.07,69.67,,,3.9134220263418533
2.18,2016-02-01,0.7793248768009977,69.28,74.98,,,4.2381562642541795
2.03,2016-02-02,0.7080357930536959,53.6,73.31,rain,,3.9815490680767565
2.06,2016-02-03,0.7227059828014898,39.49,62.21,rain,,3.676047475298558
2.05,2016-02-04,0.7178397931503168,32.46,54.18,,,3.480008562086445
2.08,2016-02-05,0.7323678937132266,35.02,55.23,,,3.555919326857706
2.22,2016-02-08,0.7975071958841882,38.66,60.01,,,3.654805473780185
2.17,2016-02-09,0.7747271675523681,35.87,58.34,,,3.579901291544191
2.13,2016-02-10,0.7561219797213337,45.6,59.24,,,3.8199077165203406
2.12,2016-02-11,0.7514160886839212,51.55,73.41,,,3.942552210462969
2.07,2016-02-12,0.7275486072772777,48.57,74.63,,,3.8830060563576536
1.92,2016-02-16,0.6523251860396901,47.69,71.44,,,3.864721732310133
1.91,2016-02-17,0.6471032420585384,43.89,68.43,,,3.7816865037001426
1.87,2016-02-18,0.6259384308664954,55.01,72.34,,,4.007514986887367
1.81,2016-02-19,0.5933268452777344,58.7,74.41,,,4.072439726834051
1.84,2016-02-22,0.6097655716208943,59.95,68.35,rain,,4.093510881473524
1.83,2016-02-23,0.6043159668533296,46.58,69.57,rain,,3.841171264456195
1.79,2016-02-24,0.5822156198526637,40.49,61.1,rain,,3.7010550300440697
1.77,2016-02-25,0.5709795465857378,39.94,68.9,,,3.6873783279876693
1.66,2016-02-26,0.5068176023684519,38.15,59.05,,,3.641525757730466
1.62,2016-02-29,0.4824261492442928,60.26,75.45,,,4.098668533702155
1.57,2016-03-01,0.4510756193602167,51.05,75.34,,,3.9328055446106744
1.59,2016-03-02,0.4637340162321402,60.07,70.25,,,4.09551054886207
1.49,2016-03-04,0.3987761199573678,49.24,72.06,,,3.896706301316253
1.52,2016-03-07,0.41871033485818493,65.16,73.44,,,4.176845783733844
1.55,2016-03-08,0.4382549309311553,70.82,76.59,rain,,4.2601414466837575
1.57,2016-03-09,0.4510756193602167,72.57,75.99,,,4.284551613290046
1.7,2016-03-10,0.5306282510621704,64.65,73.48,rain,,4.168988105217867
1.72,2016-03-11,0.5423242908253617,62.77,71.57,rain,,4.13947725232944
1.68,2016-03-14,0.5187937934151675,65.97,79.07,,,4.1892000932347795
1.78,2016-03-15,0.5766133643039938,66.9,78.74,,,4.203198967134183
1.74,2016-03-16,0.5538851132264376,69.94,78.86,,,4.24763773163523
1.82,2016-03-17,0.5988365010887039,62.78,81.35,rain,,4.139636551413807
1.84,2016-03-18,0.6097655716208943,63.43,76.31,rain,,4.149936935645806
1.76,2016-03-21,0.5653138090500605,41.71,60.84,,,3.730740908208854
1.75,2016-03-22,0.5596157879354227,58.9,67.94,,,4.075841090657541
1.8,2016-03-23,0.5877866649021191,66.38,73.19,,,4.195395806291828
1.72,2016-03-24,0.5423242908253617,47.35,77.28,rain,,3.8575668196320874
1.73,2016-03-28,0.5481214085096876,58.88,78.81,,,4.075501474420621
1.77,2016-03-29,0.5709795465857378,65.74,76.79,rain,,4.185707568236073
1.84,2016-03-30,0.6097655716208943,72.15,76.66,rain,,4.27874728521988
1.93,2016-03-31,0.6575200029167941,66.11,78.07,,,4.191320021345486
2.53,2016-11-01,0.9282193027394288,66.3,83.71,,,4.194189897191817
2.27,2016-11-02,0.8197798314933114,65.03,82.81,,,4.174848701881061
2.36,2016-11-03,0.8586616190375187,63.0,84.5,,,4.143134726391533
2.19,2016-11-04,0.7839015438284094,59.53,85.15,,,4.086480387165299
2.33,2016-11-07,0.8458682675776092,65.41,64.98,rain,,4.180675151973121
2.32,2016-11-08,0.8415671856782185,64.31,74.5,,,4.163715140146772
2.22,2016-11-09,0.7975071958841882,53.55,74.29,,,3.980615796893758
2.08,2016-11-10,0.7323678937132266,53.47,70.53,,,3.97912074896064
2.03,2016-11-11,0.7080357930536959,50.1,70.84,,,3.914021008090819
2.22,2016-11-14,0.7975071958841882,50.51,72.96,,,3.9221713364799613
2.49,2016-11-15,0.9122827104766164,51.28,79.42,,,3.9373008126124147
2.53,2016-11-16,0.9282193027394288,51.12,80.18,,,3.9341758100692794
2.33,2016-11-17,0.8458682675776092,61.21,79.57,,,4.114310574862978
2.58,2016-11-18,0.947789398933526,47.31,81.7,rain,,3.8567216896430567
2.8,2016-11-21,1.029619417181158,48.72,69.5,,,3.8860896234016415
2.74,2016-11-22,1.0079579203999791,61.58,74.96,,,4.120337142496354
