,Commodity,Price,Date,Log_Price,Low_Temp,Hi_Temp,Precip_Type,Snow_Amt
0,"Natural Gas, Opal, $ per MMBtu-I",2.33,2015-10-01,0.8458682675776092,46.84,73.43,,
1,"Natural Gas, Opal, $ per MMBtu-I",2.12,2015-10-02,0.7514160886839212,43.06,52.99,rain,
2,"Natural Gas, Opal, $ per MMBtu-I",2.23,2015-10-05,0.8020015854720274,45.18,59.31,,
3,"Natural Gas, Opal, $ per MMBtu-I",2.27,2015-10-06,0.8197798314933114,36.97,60.1,rain,
4,"Natural Gas, Opal, $ per MMBtu-I",2.32,2015-10-07,0.8415671856782185,42.51,63.8,,
5,"Natural Gas, Opal, $ per MMBtu-I",2.33,2015-10-08,0.8458682675776092,35.99,63.16,,
6,"Natural Gas, Opal, $ per MMBtu-I",2.27,2015-10-09,0.8197798314933114,33.72,66.46,,
7,"Natural Gas, Opal, $ per MMBtu-I",2.4,2015-10-12,0.8754687373538999,33.7,65.13,,
8,"Natural Gas, Opal, $ per MMBtu-I",2.38,2015-10-13,0.8671004876833833,36.27,67.9,,
9,"Natural Gas, Opal, $ per MMBtu-I",2.36,2015-10-14,0.8586616190375187,32.86,67.86,,
10,"Natural Gas, Opal, $ per MMBtu-I",2.39,2015-10-15,0.8712933659434193,37.6,67.64,,
11,"Natural Gas, Opal, $ per MMBtu-I",2.21,2015-10-16,0.7929925155296614,34.71,68.28,,
12,"Natural Gas, Opal, $ per MMBtu-I",2.26,2015-10-19,0.8153648132841944,33.58,53.16,rain,
13,"Natural Gas, Opal, $ per MMBtu-I",2.22,2015-10-20,0.7975071958841882,33.3,52.51,,
14,"Natural Gas, Opal, $ per MMBtu-I",2.14,2015-10-21,0.7608058290337602,30.06,49.74,,
15,"Natural Gas, Opal, $ per MMBtu-I",2.17,2015-10-22,0.7747271675523681,31.62,52.28,,
16,"Natural Gas, Opal, $ per MMBtu-I",2.02,2015-10-23,0.7030975114131134,28.89,52.41,,
17,"Natural Gas, Opal, $ per MMBtu-I",2.04,2015-10-26,0.712949807856125,26.28,52.5,,
18,"Natural Gas, Opal, $ per MMBtu-I",2.07,2015-10-27,0.7275486072772777,19.84,40.63,,
19,"Natural Gas, Opal, $ per MMBtu-I",2.12,2015-10-28,0.7514160886839212,31.01,43.18,,
20,"Natural Gas, Opal, $ per MMBtu-I",2.09,2015-10-29,0.7371640659767196,25.53,41.4,rain,
21,"Natural Gas, Opal, $ per MMBtu-I",1.93,2015-10-30,0.6575200029167941,33.95,42.18,,
22,"Natural Gas, Opal, $ per MMBtu-I",2.0,2015-11-02,0.6931471805599453,34.6,51.76,rain,
23,"Natural Gas, Opal, $ per MMBtu-I",1.97,2015-11-03,0.6780335427498971,20.89,47.28,,
24,"Natural Gas, Opal, $ per MMBtu-I",2.11,2015-11-04,0.7466879474879751,21.53,37.12,,
25,"Natural Gas, Opal, $ per MMBtu-I",2.17,2015-11-05,0.7747271675523681,23.6,29.18,,
26,"Natural Gas, Opal, $ per MMBtu-I",2.05,2015-11-06,0.7178397931503168,7.97,31.87,snow,0.066
27,"Natural Gas, Opal, $ per MMBtu-I",2.15,2015-11-09,0.7654678421395714,19.17,46.66,,
28,"Natural Gas, Opal, $ per MMBtu-I",2.11,2015-11-10,0.7466879474879751,20.52,31.86,snow,0.014
29,"Natural Gas, Opal, $ per MMBtu-I",2.16,2015-11-11,0.7701082216960737,23.93,29.77,,
30,"Natural Gas, Opal, $ per MMBtu-I",2.02,2015-11-12,0.7030975114131134,13.02,31.56,,
31,"Natural Gas, Opal, $ per MMBtu-I",2.02,2015-11-13,0.7030975114131134,14.78,42.14,,
32,"Natural Gas, Opal, $ per MMBtu-I",2.23,2015-11-16,0.8020015854720274,13.93,34.36,snow,0.051
33,"Natural Gas, Opal, $ per MMBtu-I",2.1,2015-11-17,0.7419373447293773,25.6,26.86,,
34,"Natural Gas, Opal, $ per MMBtu-I",2.12,2015-11-18,0.7514160886839212,22.61,31.96,snow,0.009
35,"Natural Gas, Opal, $ per MMBtu-I",2.14,2015-11-19,0.7608058290337602,27.89,34.07,snow,0
36,"Natural Gas, Opal, $ per MMBtu-I",2.14,2015-11-20,0.7608058290337602,3.65,28.91,snow,0.158
37,"Natural Gas, Opal, $ per MMBtu-I",2.28,2015-11-23,0.8241754429663494,13.84,45.82,,
38,"Natural Gas, Opal, $ per MMBtu-I",2.26,2015-11-24,0.8153648132841944,19.25,39.44,,
39,"Natural Gas, Opal, $ per MMBtu-I",2.17,2015-11-25,0.7747271675523681,11.06,35.3,,
40,"Natural Gas, Opal, $ per MMBtu-I",2.3,2015-11-30,0.8329091229351039,-1.35,17.79,snow,0.087
41,"Natural Gas, Opal, $ per MMBtu-I",2.28,2015-12-01,0.8241754429663494,-0.21,22.19,snow,0.112
42,"Natural Gas, Opal, $ per MMBtu-I",2.21,2015-12-02,0.7929925155296614,5.7,27.96,snow,0.03
43,"Natural Gas, Opal, $ per MMBtu-I",2.13,2015-12-03,0.7561219797213337,12.9,34.43,snow,0.054
44,"Natural Gas, Opal, $ per MMBtu-I",2.09,2015-12-04,0.7371640659767196,13.77,34.79,,
45,"Natural Gas, Opal, $ per MMBtu-I",2.03,2015-12-07,0.7080357930536959,32.58,39.19,snow,0.016
46,"Natural Gas, Opal, $ per MMBtu-I",1.86,2015-12-08,0.62057648772511,29.95,40.9,rain,
47,"Natural Gas, Opal, $ per MMBtu-I",1.96,2015-12-09,0.6729444732424258,23.55,46.79,snow,0.03
48,"Natural Gas, Opal, $ per MMBtu-I",1.99,2015-12-10,0.688134638736401,15.13,37.88,snow,0
49,"Natural Gas, Opal, $ per MMBtu-I",1.79,2015-12-11,0.5822156198526637,6.3,30.33,snow,0.21
50,"Natural Gas, Opal, $ per MMBtu-I",1.98,2015-12-14,0.6830968447064438,15.11,25.86,snow,0.372
51,"Natural Gas, Opal, $ per MMBtu-I",2.1,2015-12-15,0.7419373447293773,13.61,22.63,snow,0.238
52,"Natural Gas, Opal, $ per MMBtu-I",2.13,2015-12-16,0.7561219797213337,4.14,19.77,,
53,"Natural Gas, Opal, $ per MMBtu-I",1.98,2015-12-17,0.6830968447064438,6.85,17.16,,
54,"Natural Gas, Opal, $ per MMBtu-I",1.88,2015-12-18,0.6312717768418578,8.82,35.49,snow,0.04
55,"Natural Gas, Opal, $ per MMBtu-I",1.96,2015-12-21,0.6729444732424258,20.32,28.49,snow,0.031
56,"Natural Gas, Opal, $ per MMBtu-I",1.97,2015-12-22,0.6780335427498971,14.12,25.03,snow,0.017
57,"Natural Gas, Opal, $ per MMBtu-I",2.03,2015-12-23,0.7080357930536959,9.6,18.23,snow,0.227
58,"Natural Gas, Opal, $ per MMBtu-I",2.23,2015-12-24,0.8020015854720274,8.94,20.8,,
