,Commodity,Price,Date,Log_Price,Low_Temp,Hi_Temp,Precip_Type,Snow_Amt
0,"Natural Gas, Panhandle East, $ per MMBtu-I",2.27,2015-10-01,0.8197798314933114,50.11,72.88,rain,
1,"Natural Gas, Panhandle East, $ per MMBtu-I",2.09,2015-10-02,0.7371640659767196,47.91,69.47,,
2,"Natural Gas, Panhandle East, $ per MMBtu-I",2.14,2015-10-05,0.7608058290337602,56.29,62.43,rain,
3,"Natural Gas, Panhandle East, $ per MMBtu-I",2.16,2015-10-06,0.7701082216960737,53.57,78.17,,
4,"Natural Gas, Panhandle East, $ per MMBtu-I",2.2,2015-10-07,0.7884573603642703,56.13,77.33,,
5,"Natural Gas, Panhandle East, $ per MMBtu-I",2.22,2015-10-08,0.7975071958841882,55.69,86.09,rain,
6,"Natural Gas, Panhandle East, $ per MMBtu-I",2.12,2015-10-09,0.7514160886839212,48.62,69.89,rain,
7,"Natural Gas, Panhandle East, $ per MMBtu-I",2.28,2015-10-12,0.8241754429663494,44.7,78.63,,
8,"Natural Gas, Panhandle East, $ per MMBtu-I",2.25,2015-10-13,0.8109302162163288,56.42,86.53,,
9,"Natural Gas, Panhandle East, $ per MMBtu-I",2.29,2015-10-14,0.8285518175661483,54.87,82.13,,
10,"Natural Gas, Panhandle East, $ per MMBtu-I",2.38,2015-10-15,0.8671004876833833,45.29,81.6,,
11,"Natural Gas, Panhandle East, $ per MMBtu-I",2.19,2015-10-16,0.7839015438284094,51.87,66.97,,
12,"Natural Gas, Panhandle East, $ per MMBtu-I",2.21,2015-10-19,0.7929925155296614,60.47,79.05,,
13,"Natural Gas, Panhandle East, $ per MMBtu-I",2.21,2015-10-20,0.7929925155296614,58.23,82.37,,
14,"Natural Gas, Panhandle East, $ per MMBtu-I",2.15,2015-10-21,0.7654678421395714,59.89,79.42,,
15,"Natural Gas, Panhandle East, $ per MMBtu-I",2.14,2015-10-22,0.7608058290337602,62.55,72.8,rain,
16,"Natural Gas, Panhandle East, $ per MMBtu-I",2.11,2015-10-23,0.7466879474879751,48.83,76.58,,
17,"Natural Gas, Panhandle East, $ per MMBtu-I",2.04,2015-10-26,0.712949807856125,45.38,64.62,,
18,"Natural Gas, Panhandle East, $ per MMBtu-I",2.01,2015-10-27,0.6981347220709843,49.01,66.51,rain,
19,"Natural Gas, Panhandle East, $ per MMBtu-I",2.0,2015-10-28,0.6931471805599453,35.52,65.59,,
20,"Natural Gas, Panhandle East, $ per MMBtu-I",2.07,2015-10-29,0.7275486072772777,36.06,55.26,,
21,"Natural Gas, Panhandle East, $ per MMBtu-I",1.7,2015-10-30,0.5306282510621704,48.16,53.17,rain,
22,"Natural Gas, Panhandle East, $ per MMBtu-I",1.63,2015-11-02,0.4885800148186709,53.2,73.08,,
23,"Natural Gas, Panhandle East, $ per MMBtu-I",1.69,2015-11-03,0.5247285289349821,59.27,75.08,,
24,"Natural Gas, Panhandle East, $ per MMBtu-I",1.86,2015-11-04,0.62057648772511,62.47,69.9,,
25,"Natural Gas, Panhandle East, $ per MMBtu-I",1.99,2015-11-05,0.688134638736401,36.18,74.86,rain,
26,"Natural Gas, Panhandle East, $ per MMBtu-I",1.92,2015-11-06,0.6523251860396901,38.89,62.37,,
27,"Natural Gas, Panhandle East, $ per MMBtu-I",1.94,2015-11-09,0.6626879730752367,48.09,64.91,,
28,"Natural Gas, Panhandle East, $ per MMBtu-I",1.96,2015-11-10,0.6729444732424258,58.26,70.84,,
29,"Natural Gas, Panhandle East, $ per MMBtu-I",1.92,2015-11-11,0.6523251860396901,39.52,64.8,,
30,"Natural Gas, Panhandle East, $ per MMBtu-I",1.92,2015-11-12,0.6523251860396901,30.23,61.91,,
31,"Natural Gas, Panhandle East, $ per MMBtu-I",1.89,2015-11-13,0.636576829071551,38.13,65.01,,
32,"Natural Gas, Panhandle East, $ per MMBtu-I",1.99,2015-11-16,0.688134638736401,55.63,60.47,rain,
33,"Natural Gas, Panhandle East, $ per MMBtu-I",1.91,2015-11-17,0.6471032420585384,38.28,58.9,rain,
34,"Natural Gas, Panhandle East, $ per MMBtu-I",2.02,2015-11-18,0.7030975114131134,32.28,63.42,rain,
35,"Natural Gas, Panhandle East, $ per MMBtu-I",2.08,2015-11-19,0.7323678937132266,34.91,51.52,,
36,"Natural Gas, Panhandle East, $ per MMBtu-I",2.17,2015-11-20,0.7747271675523681,31.35,61.19,,
37,"Natural Gas, Panhandle East, $ per MMBtu-I",2.06,2015-11-23,0.7227059828014898,40.17,62.96,,
38,"Natural Gas, Panhandle East, $ per MMBtu-I",1.96,2015-11-24,0.6729444732424258,54.32,61.6,,
39,"Natural Gas, Panhandle East, $ per MMBtu-I",1.91,2015-11-25,0.6471032420585384,40.84,66.59,,
40,"Natural Gas, Panhandle East, $ per MMBtu-I",2.11,2015-11-30,0.7466879474879751,27.59,37.58,rain,
41,"Natural Gas, Panhandle East, $ per MMBtu-I",2.1,2015-12-01,0.7419373447293773,30.43,46.79,rain,
42,"Natural Gas, Panhandle East, $ per MMBtu-I",2.1,2015-12-02,0.7419373447293773,24.4,51.13,,
43,"Natural Gas, Panhandle East, $ per MMBtu-I",2.02,2015-12-03,0.7030975114131134,31.04,53.23,,
44,"Natural Gas, Panhandle East, $ per MMBtu-I",2.0,2015-12-04,0.6931471805599453,37.79,57.55,,
45,"Natural Gas, Panhandle East, $ per MMBtu-I",1.89,2015-12-07,0.636576829071551,33.39,57.11,,
46,"Natural Gas, Panhandle East, $ per MMBtu-I",1.86,2015-12-08,0.62057648772511,34.79,61.59,,
47,"Natural Gas, Panhandle East, $ per MMBtu-I",1.86,2015-12-09,0.62057648772511,43.71,66.41,,
48,"Natural Gas, Panhandle East, $ per MMBtu-I",1.77,2015-12-10,0.5709795465857378,43.17,63.98,,
49,"Natural Gas, Panhandle East, $ per MMBtu-I",1.51,2015-12-11,0.412109650826833,38.92,66.07,,
50,"Natural Gas, Panhandle East, $ per MMBtu-I",1.44,2015-12-14,0.36464311358790924,35.54,49.58,rain,
51,"Natural Gas, Panhandle East, $ per MMBtu-I",1.46,2015-12-15,0.37843643572024505,28.36,56.89,,
52,"Natural Gas, Panhandle East, $ per MMBtu-I",1.65,2015-12-16,0.5007752879124892,26.15,43.29,,
53,"Natural Gas, Panhandle East, $ per MMBtu-I",1.7,2015-12-17,0.5306282510621704,19.23,31.26,,
54,"Natural Gas, Panhandle East, $ per MMBtu-I",1.65,2015-12-18,0.5007752879124892,27.87,43.58,,
55,"Natural Gas, Panhandle East, $ per MMBtu-I",1.71,2015-12-21,0.5364933705145685,30.46,40.14,,
56,"Natural Gas, Panhandle East, $ per MMBtu-I",1.62,2015-12-22,0.4824261492442928,42.68,55.49,,
57,"Natural Gas, Panhandle East, $ per MMBtu-I",1.52,2015-12-23,0.41871033485818504,35.32,50.24,,
58,"Natural Gas, Panhandle East, $ per MMBtu-I",1.43,2015-12-24,0.3576744442718159,26.1,48.56,,
59,"Natural Gas, Panhandle East, $ per MMBtu-I",2.37,2015-12-28,0.8628899551470398,19.29,26.19,,
60,"Natural Gas, Panhandle East, $ per MMBtu-I",2.29,2015-12-30,0.8285518175661483,26.71,32.47,snow,0.044
61,"Natural Gas, Panhandle East, $ per MMBtu-I",2.31,2015-12-31,0.8372475245337022,20.31,38.69,snow,0.009
62,"Natural Gas, Panhandle East, $ per MMBtu-I",2.34,2016-01-04,0.85015092936961,19.89,29.86,,
63,"Natural Gas, Panhandle East, $ per MMBtu-I",2.22,2016-01-05,0.7975071958841882,33.14,38.22,,
64,"Natural Gas, Panhandle East, $ per MMBtu-I",2.26,2016-01-06,0.8153648132841944,38.96,39.38,rain,
65,"Natural Gas, Panhandle East, $ per MMBtu-I",2.23,2016-01-07,0.8020015854720274,34.11,43.12,rain,
66,"Natural Gas, Panhandle East, $ per MMBtu-I",2.45,2016-01-08,0.8960880245566357,25.63,35.66,rain,
67,"Natural Gas, Panhandle East, $ per MMBtu-I",2.45,2016-01-11,0.8960880245566357,26.31,46.74,,
68,"Natural Gas, Panhandle East, $ per MMBtu-I",2.24,2016-01-12,0.8064758658669485,22.76,40.94,,
69,"Natural Gas, Panhandle East, $ per MMBtu-I",2.13,2016-01-13,0.7561219797213337,30.58,55.73,,
70,"Natural Gas, Panhandle East, $ per MMBtu-I",2.09,2016-01-14,0.7371640659767196,32.98,55.37,,
71,"Natural Gas, Panhandle East, $ per MMBtu-I",2.17,2016-01-15,0.7747271675523681,24.33,43.04,,
72,"Natural Gas, Panhandle East, $ per MMBtu-I",2.14,2016-01-19,0.7608058290337602,23.27,28.49,,
73,"Natural Gas, Panhandle East, $ per MMBtu-I",2.06,2016-01-20,0.7227059828014898,26.87,28.09,,
74,"Natural Gas, Panhandle East, $ per MMBtu-I",2.1,2016-01-21,0.7419373447293773,25.86,30.42,,
75,"Natural Gas, Panhandle East, $ per MMBtu-I",2.03,2016-01-22,0.7080357930536959,22.76,27.98,,
76,"Natural Gas, Panhandle East, $ per MMBtu-I",2.03,2016-01-25,0.7080357930536959,24.22,39.01,,
77,"Natural Gas, Panhandle East, $ per MMBtu-I",2.07,2016-01-26,0.7275486072772777,22.75,46.37,,
78,"Natural Gas, Panhandle East, $ per MMBtu-I",2.05,2016-01-27,0.7178397931503168,30.56,54.24,,
79,"Natural Gas, Panhandle East, $ per MMBtu-I",1.92,2016-01-28,0.6523251860396901,33.7,59.16,,
80,"Natural Gas, Panhandle East, $ per MMBtu-I",2.15,2016-01-29,0.7654678421395714,30.67,67.34,,
81,"Natural Gas, Panhandle East, $ per MMBtu-I",2.04,2016-02-01,0.712949807856125,35.95,52.14,rain,
82,"Natural Gas, Panhandle East, $ per MMBtu-I",1.9,2016-02-02,0.6418538861723947,25.19,41.39,rain,
83,"Natural Gas, Panhandle East, $ per MMBtu-I",1.93,2016-02-03,0.6575200029167941,20.06,38.0,,
84,"Natural Gas, Panhandle East, $ per MMBtu-I",1.9,2016-02-04,0.6418538861723947,25.12,47.99,,
85,"Natural Gas, Panhandle East, $ per MMBtu-I",1.93,2016-02-05,0.6575200029167941,24.98,49.03,,
86,"Natural Gas, Panhandle East, $ per MMBtu-I",2.1,2016-02-08,0.7419373447293773,29.03,42.79,,
