Price,Date,Log_Price,Low_Temp,Hi_Temp,Precip_Type,Snow_Amt,Low_Temp_log
1.63,2015-11-02,0.4885800148186709,53.2,73.08,,,3.9740583963475986
1.69,2015-11-03,0.5247285289349821,59.27,75.08,,,4.082103275799747
1.86,2015-11-04,0.62057648772511,62.47,69.9,,,4.134686441505479
1.99,2015-11-05,0.688134638736401,36.18,74.86,rain,,3.588506479967149
1.92,2015-11-06,0.6523251860396901,38.89,62.37,,,3.660737148167656
1.94,2015-11-09,0.6626879730752367,48.09,64.91,,,3.873074255289571
1.96,2015-11-10,0.6729444732424258,58.26,70.84,,,4.064915751531289
1.92,2015-11-11,0.6523251860396901,39.52,64.8,,,3.6768068728796672
1.92,2015-11-12,0.6523251860396901,30.23,61.91,,,3.408834808791367
1.89,2015-11-13,0.636576829071551,38.13,65.01,,,3.6410013738694724
1.99,2015-11-16,0.688134638736401,55.63,60.47,rain,,4.018722624087202
1.91,2015-11-17,0.6471032420585384,38.28,58.9,rain,,3.6449275665847534
2.02,2015-11-18,0.7030975114131134,32.28,63.42,rain,,3.474447843401748
2.08,2015-11-19,0.7323678937132266,34.91,51.52,,,3.5527733211169448
2.17,2015-11-20,0.7747271675523681,31.35,61.19,,,3.4452142670789296
2.06,2015-11-23,0.7227059828014898,40.17,62.96,,,3.693120448371191
1.96,2015-11-24,0.6729444732424258,54.32,61.6,,,3.9948924832504407
1.91,2015-11-25,0.6471032420585384,40.84,66.59,,,3.7096619932964647
2.11,2015-11-30,0.7466879474879751,27.59,37.58,rain,,3.3174533882291946
2.1,2015-12-01,0.7419373447293773,30.43,46.79,rain,,3.4154289639088797
2.1,2015-12-02,0.7419373447293773,24.4,51.13,,,3.1945831322991562
2.02,2015-12-03,0.7030975114131134,31.04,53.23,,,3.435276695315018
2.0,2015-12-04,0.6931471805599453,37.79,57.55,,,3.6320445173613978
1.89,2015-12-07,0.636576829071551,33.39,57.11,,,3.508256453955563
1.86,2015-12-08,0.62057648772511,34.79,61.59,,,3.5493299891638506
1.86,2015-12-09,0.62057648772511,43.71,66.41,,,3.7775769088752233
1.77,2015-12-10,0.5709795465857378,43.17,63.98,,,3.765145809567386
1.51,2015-12-11,0.41210965082683293,38.92,66.07,,,3.6615082573178044
1.44,2015-12-14,0.3646431135879093,35.54,49.58,rain,,3.570658822726505
1.46,2015-12-15,0.37843643572024505,28.36,56.89,,,3.344979701663927
1.65,2015-12-16,0.5007752879124892,26.15,43.29,,,3.263849190510932
1.7,2015-12-17,0.5306282510621704,19.23,31.26,,,2.9564715596006885
