Price,Date,Log_Price,Low_Temp,Hi_Temp,Precip_Type,Snow_Amt,Low_Temp_log
1.9,2015-11-02,0.6418538861723947,64.68,71.13,rain,,4.169452034708907
1.89,2015-11-03,0.636576829071551,61.79,71.54,rain,,4.123741539072888
2.0,2015-11-04,0.6931471805599453,63.33,78.28,,,4.148359150528339
2.08,2015-11-05,0.7323678937132266,73.55,82.39,,,4.297965447047447
2.12,2015-11-06,0.7514160886839212,68.79,85.07,,,4.2310583855379225
2.05,2015-11-09,0.7178397931503168,54.59,72.29,,,3.9998507157936665
2.07,2015-11-10,0.7275486072772777,63.99,74.45,,,4.158726821151369
2.06,2015-11-11,0.7227059828014898,57.75,80.46,,,4.056123349401903
1.95,2015-11-12,0.6678293725756554,49.38,70.19,rain,,3.8995454839170334
1.98,2015-11-13,0.6830968447064438,47.46,62.7,,,3.8598872510076174
2.05,2015-11-16,0.7178397931503168,74.15,74.76,rain,,4.306090068583941
1.96,2015-11-17,0.6729444732424258,51.98,76.72,rain,,3.950859029213344
2.06,2015-11-18,0.7227059828014898,45.17,71.35,rain,,3.8104331496665127
2.14,2015-11-19,0.7608058290337602,49.86,74.88,,,3.9092190780954117
2.18,2015-11-20,0.7793248768009977,53.47,72.18,,,3.97912074896064
2.15,2015-11-23,0.7654678421395714,40.54,61.3,,,3.702289141023854
2.11,2015-11-24,0.7466879474879751,50.0,65.43,,,3.912023005428146
1.97,2015-11-25,0.6780335427498971,65.15,74.99,rain,,4.176692303570854
2.09,2015-11-30,0.7371640659767196,52.76,68.95,rain,,3.965753327849114
2.16,2015-12-01,0.7701082216960737,48.85,56.66,rain,,3.888754378488792
2.19,2015-12-02,0.7839015438284094,38.72,57.37,,,3.656356262408376
2.1,2015-12-03,0.7419373447293773,35.82,58.37,,,3.578506396632566
2.1,2015-12-04,0.7419373447293773,35.78,58.29,,,3.5773890780805733
2.04,2015-12-07,0.7129498078561249,39.93,68.83,,,3.6871279210751298
1.99,2015-12-08,0.688134638736401,53.55,69.19,,,3.980615796893758
1.96,2015-12-09,0.6729444732424258,54.41,73.32,,,3.996547960497834
1.86,2015-12-10,0.62057648772511,70.17,76.52,,,4.250920869264197
1.69,2015-12-11,0.5247285289349821,68.47,79.51,,,4.226395693132972
1.66,2015-12-14,0.5068176023684519,46.12,69.65,rain,,3.8312466954008584
1.64,2015-12-15,0.49469624183610705,61.95,75.48,,,4.126327608075152
1.7,2015-12-16,0.5306282510621704,42.49,65.43,rain,,3.7492687541267204
1.73,2015-12-17,0.5481214085096876,36.58,59.64,,,3.5995016429627196
1.69,2015-12-18,0.5247285289349821,33.49,56.88,,,3.5112468868061133
1.71,2015-12-21,0.5364933705145685,64.0,72.13,rain,,4.1588830833596715
1.69,2015-12-22,0.5247285289349821,65.54,70.26,rain,,4.182660643270669
1.53,2015-12-23,0.4252677354043441,59.22,79.33,rain,,4.0812593226734455
1.45,2015-12-24,0.37156355643248296,74.11,78.5,,,4.305550475963267
2.09,2015-12-28,0.7371640659767196,41.97,50.3,rain,,3.7369550773454994
2.24,2015-12-30,0.8064758658669485,43.63,58.25,rain,,3.775744987135518
2.32,2015-12-31,0.8415671856782185,41.9,53.59,rain,,3.735285826928092
2.39,2016-01-04,0.8712933659434193,29.48,57.25,,,3.383712067321136
2.31,2016-01-05,0.8372475245337022,35.15,50.14,,,3.5596246182566738
2.32,2016-01-06,0.8415671856782185,52.6,62.48,rain,,3.9627161197436642
2.32,2016-01-07,0.8415671856782185,54.33,63.55,rain,,3.9950765605634317
2.45,2016-01-08,0.8960880245566357,53.83,60.87,rain,,3.985830932572866
2.48,2016-01-11,0.9082585601768908,31.15,51.6,,,3.4388142452334622
2.34,2016-01-12,0.8501509293696099,32.32,60.92,,,3.4756862336528944
2.28,2016-01-13,0.8241754429663494,36.78,63.07,,,3.604954219176175
2.18,2016-01-14,0.7793248768009977,52.65,59.21,,,3.9636662385799846
2.19,2016-01-15,0.7839015438284094,40.79,71.47,,,3.708436953329467
2.18,2016-01-19,0.7793248768009977,46.64,63.29,,,3.842458542042237
2.13,2016-01-20,0.7561219797213337,57.71,70.59,,,4.055430468722875
2.19,2016-01-21,0.7839015438284094,39.24,71.5,rain,,3.6696966346971625
2.18,2016-01-22,0.7793248768009977,29.83,44.54,,,3.395514598526657
2.12,2016-01-25,0.7514160886839212,47.16,70.55,rain,,3.85354607566917
2.23,2016-01-26,0.8020015854720274,41.98,49.45,rain,,3.7371933143924867
