,Commodity,Price,Date,Log_Price,Low_Temp,Hi_Temp,Precip_Type,Snow_Amt
0,"Natural Gas, Transco Zone 6 NY, $ per MMBtu-I",2.13,2015-10-01,0.7561219797213337,51.3,61.78,rain,
1,"Natural Gas, Transco Zone 6 NY, $ per MMBtu-I",1.56,2015-10-02,0.44468582126144574,48.11,51.55,rain,
2,"Natural Gas, Transco Zone 6 NY, $ per MMBtu-I",2.28,2015-10-05,0.8241754429663494,48.15,64.16,,
3,"Natural Gas, Transco Zone 6 NY, $ per MMBtu-I",2.4,2015-10-06,0.8754687373538999,55.16,72.35,,
4,"Natural Gas, Transco Zone 6 NY, $ per MMBtu-I",2.45,2015-10-07,0.8960880245566357,54.52,72.24,,
5,"Natural Gas, Transco Zone 6 NY, $ per MMBtu-I",2.32,2015-10-08,0.8415671856782185,58.02,68.47,,
6,"Natural Gas, Transco Zone 6 NY, $ per MMBtu-I",2.22,2015-10-09,0.7975071958841882,49.13,77.21,rain,
7,"Natural Gas, Transco Zone 6 NY, $ per MMBtu-I",2.4,2015-10-12,0.8754687373538999,57.1,75.78,,
8,"Natural Gas, Transco Zone 6 NY, $ per MMBtu-I",2.44,2015-10-13,0.8919980393051105,54.43,70.04,rain,
9,"Natural Gas, Transco Zone 6 NY, $ per MMBtu-I",2.38,2015-10-14,0.8671004876833833,46.96,66.25,,
10,"Natural Gas, Transco Zone 6 NY, $ per MMBtu-I",2.34,2015-10-15,0.85015092936961,50.88,63.36,,
11,"Natural Gas, Transco Zone 6 NY, $ per MMBtu-I",2.44,2015-10-16,0.8919980393051105,43.9,62.4,,
12,"Natural Gas, Transco Zone 6 NY, $ per MMBtu-I",2.42,2015-10-19,0.883767540168595,45.4,52.44,,
13,"Natural Gas, Transco Zone 6 NY, $ per MMBtu-I",2.29,2015-10-20,0.8285518175661483,50.76,70.56,,
14,"Natural Gas, Transco Zone 6 NY, $ per MMBtu-I",2.17,2015-10-21,0.7747271675523681,51.57,75.05,,
15,"Natural Gas, Transco Zone 6 NY, $ per MMBtu-I",2.38,2015-10-22,0.8671004876833833,51.41,74.29,,
16,"Natural Gas, Transco Zone 6 NY, $ per MMBtu-I",2.25,2015-10-23,0.8109302162163288,39.56,59.65,,
17,"Natural Gas, Transco Zone 6 NY, $ per MMBtu-I",2.16,2015-10-26,0.7701082216960737,38.61,58.9,,
18,"Natural Gas, Transco Zone 6 NY, $ per MMBtu-I",1.99,2015-10-27,0.688134638736401,50.31,57.89,,
19,"Natural Gas, Transco Zone 6 NY, $ per MMBtu-I",2.1,2015-10-28,0.7419373447293773,62.11,66.14,rain,
20,"Natural Gas, Transco Zone 6 NY, $ per MMBtu-I",2.03,2015-10-29,0.7080357930536959,46.65,71.51,rain,
21,"Natural Gas, Transco Zone 6 NY, $ per MMBtu-I",1.48,2015-10-30,0.3920420877760237,36.48,60.08,,
22,"Natural Gas, Transco Zone 6 NY, $ per MMBtu-I",1.55,2015-11-02,0.4382549309311553,42.95,63.26,,
23,"Natural Gas, Transco Zone 6 NY, $ per MMBtu-I",1.39,2015-11-03,0.3293037471426003,48.04,74.57,,
24,"Natural Gas, Transco Zone 6 NY, $ per MMBtu-I",1.36,2015-11-04,0.3074846997479607,54.46,68.45,,
25,"Natural Gas, Transco Zone 6 NY, $ per MMBtu-I",1.32,2015-11-05,0.27763173659827955,64.63,68.52,rain,
26,"Natural Gas, Transco Zone 6 NY, $ per MMBtu-I",1.57,2015-11-06,0.45107561936021673,59.76,73.12,rain,
27,"Natural Gas, Transco Zone 6 NY, $ per MMBtu-I",1.77,2015-11-09,0.5709795465857378,51.33,59.21,,
28,"Natural Gas, Transco Zone 6 NY, $ per MMBtu-I",1.64,2015-11-10,0.494696241836107,50.33,56.87,rain,
29,"Natural Gas, Transco Zone 6 NY, $ per MMBtu-I",1.53,2015-11-11,0.4252677354043441,52.54,60.19,rain,
30,"Natural Gas, Transco Zone 6 NY, $ per MMBtu-I",1.79,2015-11-12,0.5822156198526637,54.0,58.41,rain,
31,"Natural Gas, Transco Zone 6 NY, $ per MMBtu-I",1.85,2015-11-13,0.6151856390902335,43.63,57.61,,
32,"Natural Gas, Transco Zone 6 NY, $ per MMBtu-I",2.01,2015-11-16,0.6981347220709843,40.38,67.75,,
